Sr No.,Utterance,speaker,emotion,Sentiment,dialogue_id,Utterance_ID,Season,Episode,StartTime,EndTime,orig_dialogue_id,utterance_de_deepl
1,also i was the point person on my company s transition from the kl-5 to gr-6 system,Chandler,neutral,neutral,0,0,8,21,"00:16:16,059","00:16:21,731",0,Außerdem war ich die Kontaktperson bei der Umstellung meines Unternehmens vom KL-5- auf das GR-6-System.
2,you must ve had your hands full,The Interviewer,neutral,neutral,0,1,8,21,"00:16:21,940","00:16:23,442",0,Sie müssen alle Hände voll zu tun gehabt haben.
3,that i did that i did,Chandler,neutral,neutral,0,2,8,21,"00:16:23,442","00:16:26,389",0,"Das hatte ich. Ja, das hatte ich."
4,so let s talk a little bit about your duties,The Interviewer,neutral,neutral,0,3,8,21,"00:16:26,820","00:16:29,572",0,Reden wir ein wenig über Ihre Aufgaben.
5,my duties all right,Chandler,surprise,positive,0,4,8,21,"00:16:34,452","00:16:40,917",0,Meine Aufgaben? Also gut.
6,now you ll be heading a whole division so you ll have a lot of duties,The Interviewer,neutral,neutral,0,5,8,21,"00:16:41,126","00:16:44,337",0,"Sie werden eine ganze Abteilung leiten, also haben Sie eine Menge Aufgaben."
7,i see,Chandler,neutral,neutral,0,6,8,21,"00:16:48,800","00:16:51,886",0,Ich verstehe.
8,but there ll be perhaps 30 people under you so you can dump a certain amount on them,The Interviewer,neutral,neutral,0,7,8,21,"00:16:48,800","00:16:54,514",0,"Aber es werden vielleicht 30 Leute unter Ihnen sein, also können Sie ihnen eine gewisse Menge aufbürden."
9,good to know,Chandler,neutral,neutral,0,8,8,21,"00:16:59,477","00:17:00,478",0,Gut zu wissen.
10,we can go into detail,The Interviewer,neutral,neutral,0,9,8,21,"00:17:00,478","00:17:02,719",0,Wir können ins Detail gehen
11,no don t i beg of you,Chandler,fear,negative,0,10,8,21,"00:17:02,856","00:17:04,858",0,"Nein, ich bitte Sie nicht!"
12,all right then we ll have a definite answer for you on monday but i think i can say with some confidence you ll fit in well here,The Interviewer,neutral,neutral,0,11,8,21,"00:17:05,025","00:17:13,324",0,"Also gut, wir werden am Montag eine definitive Antwort für Sie haben, aber ich denke, ich kann mit einiger Zuversicht sagen, dass Sie hier gut reinpassen werden."
13,really,Chandler,surprise,positive,0,12,8,21,"00:17:13,491","00:17:16,536",0,Wirklich?!
14,absolutely you can relax you did great,The Interviewer,neutral,neutral,0,13,8,21,"00:17:17,579","00:17:20,707",0,"Ganz sicher. Sie können sich entspannen, Sie haben das toll gemacht."
15,but then who the waitress i went out with last month,Joey,surprise,negative,1,0,9,23,"00:36:40,364","00:36:42,824",1,"Aber wer dann? Die Kellnerin, mit der ich letzten Monat ausgegangen bin?"
16,you know forget it,Rachel,sadness,negative,1,1,9,23,"00:36:44,368","00:36:46,578",1,Du weißt es? Vergiss es!
17,no-no-no-no no who who were you talking about,Joey,surprise,negative,1,2,9,23,"00:36:44,368","00:36:49,122",1,"Nein, nein, nein, nein, nein! Von wem, von wem hast du gesprochen?"
18,no i-i-i-i don t i actually don t know,Rachel,fear,negative,1,3,9,23,"00:36:49,290","00:36:51,791",1,"Nein, ich weiß es nicht. Ich weiß es wirklich nicht."
19,ok,Joey,neutral,neutral,1,4,9,23,"00:36:52,376","00:36:53,543",1,Okay!
20,all right well,Joey,neutral,neutral,1,5,9,23,"00:36:53,545","00:36:55,000",1,"Alles klar, nun..."
23,yeah sure,Rachel,neutral,neutral,1,8,9,23,"0:36:59,425","0:37:01,439",1,"Ja, klar."
24,hey mon,Chandler,neutral,neutral,2,0,3,6,"00:05:50,350","00:05:51,433",2,"Hey, Mon."
25,hey-hey-hey you wanna hear something that sucks,Monica,neutral,neutral,2,1,3,6,"0:05:52,435","0:05:53,897",2,"Hey-hey-hey. Du willst was hören, was scheiße ist."
26,do i ever,Chandler,joy,positive,2,2,3,6,"0:05:53,897","0:05:55,743",2,Will ich immer.
27,chris says they re closing down the bar,Monica,sadness,negative,2,3,3,6,"0:05:57,023","0:05:58,734",2,"Chris sagt, sie machen die Bar zu."
28,no way,Chandler,surprise,negative,2,4,3,6,"0:05:58,734","0:05:59,774",2,Das gibt's doch nicht!
29,yeah apparently they re turning it into some kinda coffee place,Monica,neutral,neutral,2,5,3,6,"00:05:59,942","00:06:02,152",2,"Ja, anscheinend machen sie daraus eine Art Kaffee-Laden."
30,just coffee where are we gonna hang out now,Chandler,disgust,negative,2,6,3,6,"00:06:02,362","00:06:07,157",2,Nur Kaffee! Wo werden wir jetzt abhängen?
31,got me,Monica,sadness,negative,2,7,3,6,"00:06:04,489","00:06:07,157",2,Ich bin dabei.
32,can i get a beer,Chandler,neutral,neutral,2,8,3,6,"0:06:07,367","0:06:08,035",2,Kann ich ein Bier bekommen.
33,hey did you pick a roommate,Monica,neutral,neutral,2,9,3,6,"0:06:08,035","0:06:10,019",2,"Hey, hast du dir eine Mitbewohnerin ausgesucht?"
34,you betcha,Chandler,joy,positive,2,10,3,6,"0:06:10,161","0:06:10,973",2,Darauf kannst du wetten!
35,is it the italian guy,Monica,neutral,neutral,2,11,3,6,"0:06:10,973","0:06:12,167",2,Ist es der italienische Typ?
36,um-mm yeah right,Chandler,joy,positive,2,12,3,6,"00:06:12,288","00:06:13,497",2,"Ähm-mm, ja klar!"
37,oh my god oh my god poor monica,Phoebe,surprise,negative,3,0,3,12,"00:10:16,115","00:10:18,450",3,"Oh mein Gott, oh mein Gott! Die arme Monica!"
38,what what what,Chandler,surprise,negative,3,1,3,12,"0:10:18,618","0:10:19,750",3,"Was, was, was?!"
39,what,Phoebe,surprise,negative,3,2,3,12,"0:10:19,750","0:10:20,966",3,Was?!
40,he was with her when he wrote this poem,Phoebe,neutral,neutral,3,3,3,12,"00:10:21,078","00:10:23,496",3,"Er war mit ihr zusammen, als er dieses Gedicht schrieb."
41,look my vessel so empty with nothing inside,Phoebe,neutral,neutral,3,4,3,12,"00:10:23,664","00:10:26,499",3,"Schau, 'Mein Gefäß so leer, mit nichts darin."
42,now that i ve touched you you seem emptier still,Phoebe,neutral,neutral,3,5,3,12,"00:10:26,667","00:10:29,586",3,"Jetzt, wo ich dich berührt habe, scheinst du noch leerer zu sein.'"
43,he thinks monica is empty she is the empty vase,Phoebe,surprise,negative,3,6,3,12,"00:10:29,754","00:10:32,672",3,"Er denkt, Monica ist leer, sie ist die leere Vase!"
45,oh totally oh god oh she seemed so happy too,Phoebe,sadness,negative,3,8,3,12,"00:10:36,385","00:10:39,137",3,"Oh, total. Oh, Gott, oh, sie schien auch so glücklich."
46,done,Joey,neutral,neutral,3,9,3,12,"00:10:39,680","00:10:41,181",3,Erledigt.
47,hey,Rachel,surprise,positive,4,0,3,11,"0:20:23,931","0:20:24,891",4,Hey!
48,hi,Ross,joy,positive,4,1,3,11,"0:20:24,891","0:20:25,028",4,Hi!
49,what are you doing here,Rachel,surprise,positive,4,2,3,11,"00:20:25,140","00:20:26,265",4,Was machst du denn hier?
50,ah y know this building is on my paper route so i,Ross,neutral,neutral,4,3,3,11,"00:20:26,433","00:20:29,185",4,"Ah, weißt du, dieses Gebäude liegt auf meiner Zeitungsroute, also habe ich..."
51,oh,Rachel,neutral,neutral,4,4,3,11,"0:20:29,394","0:20:30,771",4,Oh...
52,hi,Ross,neutral,neutral,4,5,3,11,"0:20:30,771","0:20:30,873",4,Hi!
53,hi,Rachel,neutral,neutral,4,6,3,11,"0:20:30,873","0:20:31,135",4,Hi!
54,how d did it go,Ross,neutral,neutral,4,7,3,11,"00:20:31,188","00:20:32,230",4,Wie ist es gelaufen?
55,oh well the woman i interviewed with was pretty tough but y know thank god mark coached me because once i started talking about the fall line she got all happy and wouldn t shut up,Rachel,joy,positive,4,8,3,11,"00:20:32,397","00:20:40,446",4,"Die Frau, mit der ich mich unterhalten habe, war ziemlich hart, aber Gott sei Dank hat Mark mich gecoacht, denn als ich anfing, über die Falllinie zu reden, wurde sie ganz glücklich und wollte nicht mehr aufhören."
56,i m so proud of you,Ross,joy,positive,4,9,3,11,"0:20:40,614","0:20:41,991",4,Ich bin so stolz auf dich.
57,me too,Rachel,joy,positive,4,10,3,11,"0:20:41,991","0:20:43,543",4,Ich auch!
58,listen i m ah i m sorry i ve been so crazy and jealous and it s just that i like you a lot so,Ross,sadness,negative,4,11,3,11,"00:20:44,284","00:20:53,584",4,"Es tut mir leid, dass ich so verrückt und eifersüchtig war. Ich mag dich sehr, also..."
59,i know,Rachel,neutral,neutral,4,12,3,11,"00:20:53,752","00:20:54,794",4,"Ja, ich weiß."
60,yeah,Ross,neutral,neutral,4,13,3,11,"0:20:54,962","0:20:55,380",4,Ich weiß. Ja.
61,yeah,Rachel,neutral,neutral,4,14,3,11,"0:20:55,380","0:20:56,057",4,Ich weiß. Ja.
62,ameri-can,Phoebe,neutral,neutral,5,0,3,15,"0:22:18,545","0:22:20,297",5,Ameri-kann.
63,ameri-ccan,Joey,neutral,neutral,5,1,3,15,"0:22:20,297","0:22:20,476",5,Ameri-ccan.
64,ameri-can y know it s a,Phoebe,neutral,neutral,5,2,3,15,"00:22:20,589","00:22:23,507",5,"Ameri-can. Ihr wisst, es ist ein"
65,everybody,Sergei,surprise,positive,5,3,3,15,"00:22:25,844","00:22:28,679",5,Alle!!
66,good job joe well done top notch,Chandler,joy,positive,6,0,8,22,"00:12:24,315","00:12:27,526",6,"Gut gemacht, Joe! Gut gemacht! Erste Sahne!"
67,you liked it you really liked it,Joey,surprise,positive,6,1,8,22,"0:12:28,194","0:12:29,796",6,Es hat dir gefallen? Du hast es wirklich gemocht?
68,oh-ho-ho yeah,Chandler,joy,positive,6,2,8,22,"0:12:29,796","0:12:31,501",6,"Oh-ho-ho, ja!"
69,which part exactly,Joey,neutral,neutral,6,3,8,22,"0:12:31,655","0:12:33,657",6,Welcher Teil genau?
70,the whole thing can we go,Chandler,neutral,neutral,6,4,8,22,"0:12:33,657","0:12:36,243",6,Die ganze Sache! Können wir gehen?
71,oh no-no-no give me some specifics,Joey,anger,negative,6,5,8,22,"00:12:36,368","00:12:38,746",6,"Oh nein, nein, nein, gib mir ein paar Einzelheiten."
72,i love the specifics the specifics were the best part,Chandler,joy,positive,6,6,8,22,"00:12:38,954","00:12:43,000",6,"Ich liebe die Details, die Details waren das Beste daran!"
73,hey what about the scene with the kangaroo did-did you like that part,Joey,neutral,neutral,6,7,8,22,"00:12:43,209","00:12:48,255",6,"Hey, was ist mit der Szene mit dem Känguru? Hat dir der Teil gefallen?"
